Date,Close,High,Low,Open,Volume,MA20,MA50,RSI,MACD,MACD_signal,MACD_hist,BB_high,BB_low,BB_width,Return,Momentum3,Momentum10,Trend,Volatility10,Lag1,Lag5,Target
2016-02-18,34.630516052246094,35.37541852050044,34.56496275580985,35.258716830705666,37664000.0,35.19132671356201,36.11571090698242,45.58653464304561,-0.5118165403713206,-0.5149361323874176,0.003119592016097017,37.62652978001225,32.75612364711178,4.87040613290047,-0.0155985145139379,0.021908108911292246,-0.040718050095112646,0,0.017874842524622417,35.17926025390625,33.9735107421875,1
2016-02-19,34.80730056762695,34.91510999263549,34.46662960438437,34.51529634359487,31786000.0,35.17722301483154,36.05379455566406,46.914796164710665,-0.46609135373169863,-0.5051671766562739,0.03907582292457523,37.61788577004412,32.73656025961896,4.881325510425157,0.005104876725317897,0.014341365815883522,-0.010028150297809901,0,0.016245493312635206,34.630516052246094,33.9233512878418,1
2016-02-22,35.08292007446289,35.41961288290493,34.88676031185089,35.132083150131244,38996000.0,35.130567169189455,35.99826454162598,49.0048454686589,-0.402968453639879,-0.4847274320529949,0.08175897841311591,37.54079214743956,32.72034219093935,4.820449956500212,0.007918439590006043,-0.002738550462631273,0.0334858896032304,0,0.011262693350823094,34.80730056762695,33.888092041015625,0
2016-02-23,34.556026458740234,35.17926018533857,34.44329918394477,34.83412217917136,40186000.0,35.09128608703613,35.94288345336914,45.33056861396403,-0.3909523564900965,-0.46597241694041525,0.07502006045031873,37.51205472647485,32.67051744759741,4.841537278877439,-0.015018522249696797,-0.002150981330843571,0.019201983621039975,0,0.012646096039702997,35.08292007446289,34.3151741027832,1
2016-02-24,34.74026107788086,34.762110911083134,33.80764412066914,34.21187550683479,39272000.0,35.05781497955322,35.89332260131836,46.83169969740803,-0.3623859591166294,-0.44525512537565815,0.08286916625902874,37.47856030055249,32.637069658553955,4.841490641998533,0.005331475809598585,-0.001926018066693902,0.031632092211435925,0,0.012289169976726574,34.556026458740234,35.17926025390625,1
2016-02-25,35.04766082763672,35.05908396921508,34.29456701286693,34.762612715979,32844000.0,35.072117233276366,35.860427703857425,49.331630249892754,-0.3113532066740774,-0.418474741635342,0.10712153496126459,37.48907058746264,32.65516387909009,4.833906708372552,0.00884851582049806,-0.0010050259998692912,0.031617282464581065,0,0.012288427543220879,34.74026107788086,34.630516052246094,0
2016-02-26,35.01389694213867,35.429055224049776,34.8048250257298,35.18820310331997,44870000.0,35.00783233642578,35.81801803588867,49.058779282792266,-0.2705155116471474,-0.3888828956377031,0.11836738399055574,37.35825165448285,32.65741301836871,4.700838636114142,-0.0009633705845333296,0.013250090659154168,0.032147344318770976,0,0.012267854962822943,35.04766082763672,34.80730056762695,0
2016-02-29,34.65137481689453,35.302914447635,34.64690406823332,34.778006878338296,49622000.0,34.895650482177736,35.77269828796387,46.109874487441814,-0.2643565125811662,-0.36397761902639575,0.09962110644522953,37.0836301318127,32.707670832542775,4.3759592992699226,-0.010353664027834886,-0.0025585950775401933,0.022523627914935007,0,0.012962510684087889,35.01389694213867,35.08292007446289,1
2016-03-01,35.69622039794922,35.69622039794922,34.75069122072443,34.941883910568976,43028000.0,34.81323928833008,35.73368530273437,54.58334685271166,-0.17316897109114393,-0.32581588943934536,0.15264691834820143,36.733903953981404,32.89257462267876,3.8413293313026458,0.030153077232169867,0.018505074375779085,0.040245935836706215,0,0.015459269477506811,34.65137481689453,34.556026458740234,1
2016-03-02,35.69820785522461,35.75531597961434,35.358033175444106,35.70565657628546,32580000.0,34.69951763153076,35.70331314086914,54.59797057269627,-0.09959376141070919,-0.28057146383361814,0.18097770242290895,36.040223544781604,33.35881171827992,2.6814118265016873,5.567696672748035e-05,0.019543980329204125,0.014751521139809487,0,0.013571754870634096,35.69622039794922,34.74026107788086,0
2016-03-03,35.3788948059082,35.72800723715649,35.061070038069886,35.689767180629865,39160000.0,34.66343955993652,35.676605987548825,51.71674369881966,-0.0662866607642627,-0.23771450321974708,0.17142784245548437,35.88494302294257,33.44193609693047,2.443006926012103,-0.008944792147868919,0.020995414838748783,0.02161038410554017,0,0.012777601805678938,35.69820785522461,35.04766082763672,0
2016-03-04,35.302913665771484,35.5810131701899,35.061068901176505,35.50652216384979,39442000.0,34.670590782165526,35.63997665405273,51.026706792460494,-0.0454971240206703,-0.19927102737993174,0.15377390335926144,35.9052401750674,33.435941389263654,2.469298785803744,-0.0021476402966672525,-0.011018161805173343,0.014238768593433537,0,0.012801036366615563,35.3788948059082,35.01389694213867,0
2016-03-07,34.521759033203125,35.16391384406222,34.11156786682855,35.10477114691072,59702000.0,34.69936866760254,35.585509338378905,44.458960848564324,-0.09100486935213326,-0.17761779577437206,0.0866129264222388,35.891227978614445,33.50750935659064,2.3837186220238067,-0.02212720003691193,-0.032955402881640894,-0.015995277476011482,0,0.014532901489283167,35.302913665771484,34.65137481689453,0
2016-03-08,34.46266555786133,34.95032570063209,34.03409506940914,34.1954928755336,41526000.0,34.72725276947021,35.52955238342285,43.99760603745078,-0.13033600268066436,-0.16816143715563053,0.03782543447496617,35.868486595092804,33.58601894384762,2.2824676512451845,-0.0017117747471953049,-0.02589762210135138,-0.002701725587297421,0,0.01374723183229416,34.521759033203125,35.69622039794922,1
2016-03-09,35.022335052490234,35.04418488811356,34.464154536935126,34.68613477264433,28430000.0,34.794617080688475,35.486685791015624,49.35762803822933,-0.1150196830368273,-0.1575330863318699,0.04251340329504261,35.83396828550594,33.75526587587101,2.0787024096349285,0.016239878302194644,-0.007947746634671904,0.008119512227528158,0,0.014637639451647626,34.46266555786133,35.69820785522461,1
2016-03-10,35.39875411987305,35.578523656695694,34.92896943034372,35.165350761535024,56670000.0,34.86587924957276,35.43733337402344,52.640767261170616,-0.07168122001425559,-0.14036271306834705,0.06868149305409146,35.86492425791662,33.866834241228894,1.9980900166877262,0.010747971739138773,0.02540412514398316,0.01001759558114279,0,0.01476395289447616,35.022335052490234,35.3788948059082,1
2016-03-11,36.09400177001953,36.09896884751806,35.61254760827479,35.755319829004655,39416000.0,34.97441177368164,35.38789176940918,58.050266518273844,0.018551647265987015,-0.10857984100148024,0.12713148826746726,36.01121401463975,33.93760953272353,2.0736044819162203,0.019640455361567888,0.04733633297805295,0.030847889615536417,0,0.015843055186200813,35.39875411987305,35.302913665771484,1
2016-03-14,36.27625274658203,36.52504988005354,36.01106539581116,36.09350144481709,34366000.0,35.093819808959964,35.3476570892334,59.360696092865794,0.10357403831086742,-0.06614906513901071,0.16972310344987812,36.15252923213904,34.03511038578089,2.1174188463581487,0.00504934248420974,0.03580337211132467,0.04689216339246882,0,0.015115829532378777,36.09400177001953,34.521759033203125,0
2016-03-15,36.168983459472656,36.36563574797994,35.992191900318694,36.09896321163235,34420000.0,35.186510276794436,35.31731460571289,58.208149512358276,0.16044959769843103,-0.020829332571522363,0.1812789302699534,36.28032794868766,34.09269260490121,2.1876353437864537,-0.0029570112397974135,0.021758656731006187,0.013244064952899093,0,0.012280244215332978,36.27625274658203,34.46266555786133,1
2016-03-16,36.55434799194336,36.62287925567765,35.97928097114957,36.07165117293208,32488000.0,35.25526466369629,35.31160362243652,61.12810508563152,0.233923065931954,0.03012114712917291,0.2038019188027811,36.50094276292711,34.009586564465465,2.491356198461645,0.01065455801107884,0.012754092074827916,0.023982720370469446,0,0.012605882036536925,36.168983459472656,35.022335052490234,1
2016-03-17,36.638275146484375,36.90097707641073,36.549879358851335,36.57222552298745,37216000.0,35.3556526184082,35.306836166381835,61.75482960160064,0.29551700276283555,0.08320031825590543,0.21231668450693011,36.703200166621954,34.008105070194446,2.695095096427508,0.0022959554513053426,0.009979597463700474,0.035596938442685744,1,0.011962198481074503,36.55434799194336,35.39875411987305,0
2016-03-18,36.629337310791016,36.84783945175366,36.34279644243667,36.840887059239805,59614000.0,35.446754455566406,35.30085716247559,61.64085078412396,0.3396936558056538,0.13449898576585512,0.2051946700397987,36.87748949762184,34.016019413510975,2.861470084110863,-0.00024394804770766498,0.012727862585194982,0.03757263940244071,1,0.011875960804851721,36.638275146484375,36.09400177001953,1
2016-03-21,36.85231018066406,36.872671029356034,36.42652444622926,36.57471080909499,36730000.0,35.535223960876465,35.316450424194336,63.45306097459793,0.38822085044952104,0.1852433587025883,0.20297749174693275,37.079354018540805,33.991093903212125,3.08826011532868,0.006087275562240535,0.008151210597064251,0.0675096290782693,1,0.007638177938920767,36.629337310791016,36.27625274658203,0
2016-03-22,36.7857666015625,36.996823823445865,36.62238726141863,36.62238726141863,25394000.0,35.64671096801758,35.34255187988281,62.504016976404515,0.4165082433567022,0.2314963356334111,0.18501190772329112,37.2137546985925,34.079667237442656,3.1340874611498464,-0.0018056827041599277,0.004025611317356903,0.06740920953432306,1,0.007649554634022517,36.85231018066406,36.168983459472656,0
2016-03-23,36.65217971801758,37.032575990034935,36.55732786723966,36.86571857009246,28642000.0,35.74230690002442,35.364432144165036,60.54623966577744,0.42326769445867285,0.26985060739846345,0.1534170870602094,37.3097681995303,34.17484560051853,3.134922599011773,-0.003631482931750196,0.0006236096228755539,0.04653729293276965,1,0.0074367909461851385,36.7857666015625,36.55434799194336,0
2016-03-24,36.51511764526367,36.636634859103424,36.30157879048792,36.35173452511863,31898000.0,35.815679740905765,35.37359939575195,58.52087002338488,0.41280627063558484,0.29844174004588775,0.11436453058969709,37.38358958740441,34.24776989440712,3.1358196929972877,-0.0037395340143039357,-0.009149834399725387,0.03153680272503978,1,0.007513271139114939,36.65217971801758,36.638275146484375,0
2016-03-28,36.42721557617188,36.698362656352266,36.37606718751755,36.58910969818663,26026000.0,35.88634567260742,35.40634536743164,57.199347167761665,0.39289352257728893,0.317332096552168,0.07556142602512095,37.43055766434221,34.34213368087263,3.088423983469582,-0.0024072788138255197,-0.009747004303979567,0.009231833263473765,1,0.004918439348626945,36.51511764526367,36.629337310791016,1
2016-03-29,36.98540115356445,37.10855891290879,36.190342913012806,36.47986177661637,38076000.0,36.00304698944092,35.436191177368165,62.92482012319671,0.417342572037839,0.33733419164930223,0.08000838038853675,37.508592695544564,34.49750128333727,3.0110914122072927,0.015323311665843997,0.009091449352003123,0.01954855734235772,1,0.0066446126619785235,36.42721557617188,36.85231018066406,1
2016-03-30,37.27144241333008,37.63644491036666,37.18255029822002,37.25008890720271,35648000.0,36.08180809020996,35.491890029907225,65.4736803248725,0.45455987570433365,0.3607793284603085,0.09378054724402513,37.67704835675573,34.48656782366419,3.190480533091545,0.00773389637111066,0.02071264771522685,0.03048078348933214,1,0.0066260445216886135,36.98540115356445,36.7857666015625,0
2016-03-31,36.99433898925781,37.2873321260001,36.79520125497996,37.207877837081895,34376000.0,36.14661464691162,35.53475677490234,61.09195955160897,0.4564334458793766,0.3799101519441222,0.07652329393525442,37.77912947046765,34.51409982335559,3.2650296471120583,-0.007434738398349738,0.015568673150436974,0.012036625503795806,1,0.00677967272511023,37.27144241333008,36.65217971801758,1
2016-04-01,37.24065017700195,37.26200368261049,36.599537313615926,36.67899539019902,31534000.0,36.23970241546631,35.585866928100586,63.43444572183145,0.47234857770689587,0.398397837096677,0.07395074061021889,37.89860184456928,34.580802986363345,3.317798858205933,0.006658077816058983,0.006901345273441883,0.0164411405315672,1,0.006993705501441892,36.99433898925781,36.51511764526367,0
2016-04-04,37.01122283935547,37.38417039362128,36.86919322624263,37.248100515387904,22684000.0,36.325117874145505,35.62430389404297,59.821662796620956,0.4611329124295125,0.4109448521632441,0.050188060266268375,37.9579982231415,34.69223752514951,3.2657606979919933,-0.006160669498411875,-0.00698174143862873,0.010425673970682281,1,0.0074100024036819106,37.24065017700195,36.42721557617188,0
2016-04-05,36.63926696777344,36.88756777811484,36.51859465317728,36.64920112189812,22646000.0,36.430993270874026,35.63676849365234,54.411182505795416,0.4174189409044544,0.4122396699114862,0.005179270992968221,37.841942293472655,35.0200442482754,2.8218980451972584,-0.010049813084979098,-0.00959800961945767,-0.005781000209924558,1,0.00793278639843261,37.01122283935547,36.98540115356445,1
2016-04-06,37.03108596801758,37.05839920840653,36.52802828929895,36.53845877213856,21074000.0,36.559414291381835,35.670557250976564,58.65342629091514,0.4096694083512489,0.41172561759943876,-0.0020562092481898886,37.66484125061939,35.45398733214428,2.2108539184751095,0.010693963953721353,-0.00562729726759148,0.006668866496985171,1,0.008664246797224611,36.63926696777344,37.27144241333008,0
2016-04-07,36.76242446899414,37.09613930096968,36.56378306429789,37.01519602587516,29064000.0,36.646418762207034,35.697612075805665,54.882274436373024,0.3774975534846021,0.40488000477647146,-0.027382451291869336,37.499301966140266,35.7935355582738,1.705766407866463,-0.007255026202998005,-0.006722241289924935,0.00300786342926207,1,0.00893693897767545,37.03108596801758,36.99433898925781,0
2016-04-08,36.70631790161133,37.01917563244637,36.527540972914,36.94568106069053,25816000.0,36.71179695129395,35.736506118774415,54.09997920847971,0.3435139802966134,0.39260679988049985,-0.04909281958388645,37.34401265700875,36.07958124557915,1.264431411429598,-0.0015261933398906802,0.0018300293479360796,0.00523619444979273,1,0.008851784717116336,36.76242446899414,37.24065017700195,0
2016-04-11,36.55484771728516,36.99682288217193,36.5523660729952,36.898496725510846,24402000.0,36.734839248657224,35.74161117553711,51.94720299290762,0.30089089280653525,0.374263618465707,-0.07337272565917174,37.305948120844796,36.16373037646965,1.1422177443751451,-0.004126542594987903,-0.01286049918016785,0.003503757811145203,1,0.008932100482892402,36.70631790161133,37.01122283935547,1
2016-04-12,36.90196990966797,36.93872097666553,36.30207504440418,36.649202132890416,27060000.0,36.76612510681152,35.74175033569336,56.24431059495582,0.29175843911913546,0.3577625825963927,-0.06600414347725725,37.30070563376927,36.231544579853775,1.0691610539154937,0.00949592773761343,0.003795871537023432,-0.002255788535321712,1,0.007989639704546282,36.55484771728516,36.63926696777344,1
2016-04-13,37.33053588867188,37.46263513375988,36.96012302814086,37.203407509457655,34142000.0,36.82420272827149,35.74147216796875,60.89397134471181,0.315466099778952,0.3493032860329046,-0.0338371862539526,37.338673889837764,36.30973156670521,1.0289423231325543,0.011613634178690102,0.017005736961515083,0.0015854893590239172,1,0.00849572883738038,36.90196990966797,37.03108596801758,1
2016-04-14,37.40403366088867,37.608138471402825,37.37945212331529,37.44425902840048,22706000.0,36.86668701171875,35.730100021362304,61.646686725386374,0.33630849266899787,0.3467043273601233,-0.010395834691125427,37.423586809764544,36.30978721367296,1.1137995960915816,0.0019688378553144315,0.023230460434990885,0.011074523368286737,1,0.00806753003169171,37.33053588867188,36.76242446899414,1
2016-04-15,37.69206237792969,37.79138118289664,37.3789054195968,37.44276891912083,36186000.0,36.919376373291016,35.76193214416504,64.5281753101401,0.371782077145447,0.351719877317188,0.020062199828258964,37.571179420818,36.26757332576403,1.303606095053965,0.007700472084169574,0.021410577001601316,0.012121490865014684,1,0.008153156341895921,37.40403366088867,36.70631790161133,1
2016-04-18,38.06998062133789,38.14148986464215,37.60764460661228,37.764567878794935,31176000.0,36.99140853881836,35.820133972167966,67.93246382532342,0.42548526300833345,0.36647295445541717,0.05901230855291628,37.798902301551394,36.18391477608533,1.6149875254660628,0.010026467631802705,0.019808039586444837,0.02860639829648104,1,0.008128430193173487,37.69206237792969,36.55484771728516,0
2016-04-19,37.44028091430664,38.23335367943724,37.21184464755962,38.21398549083142,40610000.0,37.020807075500485,35.890015563964845,57.952375395487614,0.4124791184595722,0.3756741872562482,0.03680493120332401,37.848464427466624,36.19314972353435,1.6553147039322766,-0.016540583860405467,0.0009690733824749831,0.021862171730612,1,0.009428521273254584,38.06998062133789,36.90196990966797,0
